article_number,article_details,book,chapter,section,linked_definitions,linked_articles
55,"المادة 55 من قانون العمل المصري: مع مراعاة ما ورد بالمادة (49) من هذا القانون ، تحدد اتفاقات العمل الجماعية أو لوائح العمل بالمنشأة الشروط والأوضاع الخاصة بالإجازات الدراسية مدفوعة الأجر التى تمنح للعمال.

",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الأول: واجبات العمال,{'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'},[49]
56,"المادة 56 من قانون العمل المصري: يجب على العامل:
(أ) أن يؤدى بنفسه الواجبات المنوطة به بدقة وأمانة ، وذلك وفقا لما هو محدد بالقانون ولوائح العمل وعقود العمل بالفردية والجماعية ، وأن ينجزها في الوقت المحدد ، وأن يبذل فيها عناية الشخص المعتاد.
(‌ب)	أن ينفذ أوامر وتعليمات صاحب العمل الخاصة بتنفيذ الواجبات التى تدخل فى نطاق العمل المنوط به ، إذا لم يكن فى هذه الأوامر والتعليمات ما يخالف العقد أو القانون أو اللوائح أو الآداب العامة ولم يكن فى تنفيذها ما يعرض للخطر.
(‌ج)	أن يحافظ على مواعيد العمل ، وأن يتبع الإجراءات المقررة فى حالة التغيب عن العمل أو مخالفة مواعيده.
(‌د)	أن يحافظ على ما يسلمه إليه صاحب العمل من أدوات أو أجهزة أو مستندات أو أية أشياء أخرى ، وأن يقوم بجميع الأعمال اللازمة لسلامتها ، ويلتزم بأن يبذل فى ذلك عناية الشخص المعتاد.
(هـ) أن يحسن معاملة عملاء صاحب العمل.
(‌و)	أن يحترم رؤساءه وزملاءه فى العمل ، وأن يتعاون معهم بما يحقق مصلحة المنشأة التى يعمل بها.
(‌ز)	أن يحافظ على كرامة العمل ، وأن يسلك المسلك اللائق به.
(‌ح)	أن يراعى النظم الموضوعة للمحافظة على سلامة المنشأة وأمنها.
(‌ط)	أن يحافظ على أسرار العمل ، فلا يفشى المعلومات المتعلقة بالعمل متى كانت سرية بطبيعتها أو وفقا للتعليمات الكتابية الصادرة من صاحب العمل.
(ى) أن يخطر جهة العمل بالبيانات الصحيحة المتعلقة بمحل إقامته وحالته الاجتماعية وموقفه من أداء الخدمة العسكرية والبيانات الأخرى التى تتطلب القوانين والنظم إدراجها فى السجل الخاص به ، وبكل تغيير يطرأ على بيان من البيانات السابقة فى المواعيد المحددة لذلك.
(ك) أن يتبع النظم التى يضعها صاحب العمل لتنمية وتطوير مهاراته وخبراته مهنيا وثقافيا أو لتأهيله للقيام بعمل يتفق مع التطور التقني فى المنشأة بالاشتراك مع المنظمات النقابية المختصة.
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الأول: واجبات العمال,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[]
57,"المادة 57 من قانون العمل المصري: يحظر على العامل أن يقوم بنفسه أو بواسطة غيره بالأعمال الآتية:
(أ) الاحتفاظ لنفسه بأصل أية ورقة أو مستند خاص بالعمل.
(‌ب)	العمل للغير سواء بأجر أو بدون أجر إذا كان في قيامة بهذا العمل ما يخل بحسن أدائه لعمله أو لا يتفق مع كرامة العمل أو يمكن الغير أو يساعده على التعرف على أسرار المنشأة أو منافسة صاحب العمل.
(‌ج)	ممارسة نشاط مماثل للنشاط الذي يمارسه صاحب العمل أثناء مدة سريان عقده ، أو الاشتراك فى نشاط من هذا القبيل ، سواء بصفته شريكا أو عاملا.
(‌د)	الاقتراض من عملاء صاحب العمل أو ممن يمارسون نشاطا مماثلا للنشاط الذي يمارسه صاحب العمل ولا يسرى هذا الحظر على الاقتراض من المصارف.
(هـ) قبول هدايا أو مكافآت أو عمولات أو مبالغ أو أشياء أخرى بأية صفة كانت بمناسبة قيامه بواجباته بغير رضاء صاحب العمل
.
(و) جمع نقود أو تبرعات أو توزيع منشورات أو جمع توقيعات أو تنظيم اجتماعات داخل مكان العمل بدون موافقة صاحب العمل
، مع مراعاة ما تقضى به أحكام القوانين المنظمة للنقابات العمالية.


",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[]
58,"المادة 58 من قانون العمل المصري: على صاحب العمل أن يضع لائحة تنظيم العمل والجزاءات التأديبية موضحا بها قواعد تنظيم العمل والجزاءات التأديبية مصدقا عليها من الجهة الإدارية المختصة ، وعلى هذه الجهة أخذ رأى المنظمة النقابية التي يتبعها عمال المنشأة قبل التصديق على اللائحة ، فإذا لم تقم الجهة الإدارية بالتصديق أو الاعتراض على اللائحة خلال ثلاثين يوما من تاريخ تقديمها اعتبرت نافذة ، وللوزير المختص أن يصدر بقرار منه أنظمة نموذجية للوائح والجزاءات لكي يسترشد بها أصحاب الأعمال.
وعلى صاحب العمل فى حالة استخدام عشرة عمال فأكثر أن يضع هذه اللائحة في مكان ظاهر.
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[]
59,"المادة 59 من قانون العمل المصري: يشترط في الفعل الذي تجوز مساءلة العامل عنه تأديبيا أن يكون ذا صلة بالعمل.
وتحدد لائحة الجزاءات المخالفات والجزاءات المقررة لها مما هو منصوص عليه فى المادة (60) من هذا القانون ، وبما يحقق تناسب الجزاء مع المخالفة.
ولا يجوز توقيع جزاء تأديبي على العامل بعد تاريخ الانتهاء من التحقيق فى المخالفة بأكثر من ثلاثين يوما.",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[60]
60,"المادة 60 من قانون العمل المصري: الجزاءات التأديبية التي يجوز توقيعها على العامل وفقا للوائح تنظيم العمل والجزاءات التأديبية فى كل منشأة هى:
۱ - الإنذار.
۲ - الخصم من الأجر.
۳ - تأجيل موعد استحقاق العلاوة السنوية لمدة لا تجاوز ثلاثة أشهر.
٤ - الحرمان من جزء من العلاوة السنوية بما لا يجاوز نصفها.
٥ - تأجيل الترقية عند استحقاقها لمدة لا تزيد على سنة.
٦ - خفض الأجر بمقدار علاوة على الأكثر.
۷ - الخفض إلى وظيفة فى الدرجة الأدنى مباشرة دون إخلال بقيمة الأجر الذى كان يتقاضاه.
۸ - الفصل من الخدمة وفقا لأحكام هذا القانون.

",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'}",[]
61,"المادة 61 من قانون العمل المصري: لا يجوز لصاحب العمل أن يوقع جزاء الخصم على العامل عن المخالفة الواحدة بما يزيد على أجر خمسة أيام ، ولا يجوز أن يقتطع من أجر العامل وفاء للجزاءات التى يوقعها أكثر من أجر خمسة أيام فى الشهر الواحد.
وإذا حدد الخصم بنسبة محددة من الأجر اعتبر أن المقصود بذلك هو الأجر الأساسي اليومي للعامل.

",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'}",[]
62,المادة 62 من قانون العمل المصري: لا يجوز لصاحب العمل توقيع أكثر من جزاء واحد عن المخالفة الواحدة ، كما لا يجوز له الجمع بين اقتطاع جزء من أجر العامل تطبيقا لحكم المادة (61) من هذا القانون وبين أى جزاء مالي إذا زاد ما يجب اقتطاعه على أجر خمسة أيام فى الشهر الواحد.,الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[61]
63,المادة 63 من قانون العمل المصري: يجوز تشديد الجزاء إذا عاد العامل إلى ارتكاب مخالفة جديدة من نوع المخالفة التى سبق مجازاة العامل عنها ، متى وقعت المخالفة الجديدة خلال ستة أشهر من تاريخ إبلاغ العامل بتوقيع الجزاء السابق.,الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
64,"المادة 64 من قانون العمل المصري: يحظر توقيع جزاء على العامل إلا بعد إبلاغه كتابة بما نسب إليه وسماع أقواله وتحقيق دفاعه وإثبات ذلك فى محضر يودع فى ملفه الخاص ، على أن يبدأ التحقيق خلال سبعة ايام على الأكثر من تاريخ اكتشاف المخالفة ، وللمنظمة النقابية التى يتبعها العامل أن تندب ممثلا عنها لحضور التحقيق.
ويجوز فى المخالفات التى يعاقب عليها بالإنذار أو الخصم من الأجر الذى لا يزيد مقداره على أجر يوم واحد أن يكون التحقيق شفاهة،  على أن يثبت مضمونه فى القرار الذى يقضى بتوقيع الجزاء.
وفى جميع الحالات يشترط أن يكون القرار الصادر بتوقيع الجزاء مسببا.
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'}",[]
65,المادة 65 من قانون العمل المصري: لصاحب العمل أن يحقق مع العامل بنفسه ، أو أن يعهد بالتحقيق إلى إدارة الشئون القانونية أو أي شخص آخر من ذوى الخبرة فى موضوع المخالفة أو أحد العاملين بالمنشأة بشرط ألا يقل المستوى الوظيفي للمحقق عن مستوى العامل الذي يحقق معه.,الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
66,المادة 66 من قانون العمل المصري: لصاحب العمل أن يوقف العامل عن عمله مؤقتا لمدة لا تزيد على ستين يوما مع صرف أجره كاملا إذا اقتضت مصلحة التحقيق ذلك أو طلب من اللجنة المشار إليها في المادة (71)من هذا القانون فصله من الخدمة.,الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[71]
67,"المادة 67 من قانون العمل المصري: إذا اتهم العامل بارتكاب جناية أو بارتكاب جنحة مخلة بالشرف أو الأمانة أو الآداب العامة أو اتهم بارتكاب أى جنحة داخل دائرة العمل جاز لصاحب العمل وقفه مؤقتا،  وعليه أن يعرض الأمر على اللجنة المشار إليها فى المادة (71) من هذا القانون خلال ثلاثة أيام من تاريخ الوقف.
وعلى اللجنة أن تبت فى الحالة المعروضة عليها خلال سبعة أيام من تاريخ العرض ، فإذا وافقت على الوقف يصرف للعامل نصف أجره ، أما فى حالة عدم الموافقة على الوقف يصرف أجر العامل كاملا من تاريخ وقفه.
فإذا رأت السلطة المختصة عدم تقديم العامل للمحاكمة الجنائية أو قدم للمحاكمة وقضى ببراءته وجب إعادته للعمل مع تسوية مستحقاته كاملة وإلا اعتبر عدم إعادته فصلا تعسفيا.
وإذا ثبت أن اتهام العامل كان بتدبير صاحب العمل أو من يمثله وجب أداء باقى أجره عن مدة الوقف.

",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[71]
68,"المادة 68 من قانون العمل المصري: يكون الاختصاص بتوقيع جزاء الفصل من الخدمة للجنة المشار إليها فى المادة (71) من هذا القانون.
ويكون توقيع باقى الجزاءات التأديبية لصاحب العمل أو من يفوضه لذلك.
ويكون لمدير المنشأة توقيع جزاءي الإنذار والخصم من الأجر لمدة لا تجاوز ثلاثة أيام.
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[71]
69,"المادة 69 من قانون العمل المصري: لا يجوز فصل العامل إلا إذا ارتكب خطأ جسيما ، ويعتبر من قبيل الخطأ الجسيم الحالات الآتية:
۱ - إذا ثبت انتحال العامل لشخصية غير صحيحة أو قدم مستندات مزورة.
۲ - إذا ثبت ارتكاب العامل لخطأ نشأت عنه أضرار جسيمة لصاحب العمل بشرط أن يبلغ صاحب العمل الجهات المختصة بالحادث خلال أربع وعشرين ساعة من وقت علمه بوقوعه.
۳ - إذا تكرر من العامل عدم مراعاة التعليمات اللازم اتباعها لسلامة العمال والمنشأة – بشرط أن تكون هذه التعليمات مكتوبة ومعلنة فى مكان ظاهر – رغم التنبيه عليه كتابة بمراعاة ذلك.
4	- إذا تغيب العامل بدون مبرر مشروع أكثر من عشرين يوما متقطعة خلال السنة الواحدة أو أكثر من عشرة أيام متتالية ، على أن يسبق الفصل إنذار كتابي بخطاب موصى عليه بعلم الوصول من صاحب العمل للعامل غيابه عشرة أيام فى الحالة الأولى ، بعد غيابه خمسة أيام في الحالة الثانية.
5	- إذا ثبت أن العامل أفشى أسرار المنشأة التي يعمل بها أدت إلى إحداث أضرار جسيمة بالمنشأة.
6	- إذا قام العامل بمنافسة صاحب العمل في ذات نشاطه.
۷ - إذا وجد العامل أثناء ساعات العمل في حالة سكر بين أو متأثرا بما تعاطاه من مادة مخدرة.
۸ - إذا ثبت اعتداء العامل على صاحب العمل أو المدير العام ، وكذلك إذا وقع منه اعتداء جسيم على أحد رؤسائه أثناء العمل أو بسببه.
۹ - إذا لم يراع العامل الضوابط الواردة في المواد من (192) إلى (194) من الكتاب الرابع من هذا القانون.
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}","[192, 193, 194]"
70,المادة 70 من قانون العمل المصري: إذا نشأ نزاع فردى بين صاحب العمل والعامل في شأن تطبيق أحكام هذا القانون أو أى من القوانين أو اللوائح المنظمة لعلاقات العمل الفردية فلأي منهما أن يطلب من لجنة – تشكل من : ممثل للجهة الإدارية المختصة (مقررا) ، وممثل للمنظمة النقابية ، وممثل لمنظمة أصحاب الأعمال – خلال عشرة أيام من تاريخ النزاع تسويته وديا ، فإذا لم تتم التسوية خلال واحد وعشرين يوما – من تاريخ تقديم الطلب – جاز لأي منهما أن يطلب من الجهة الإدارية المختصة إحالة النزاع إلى المحكمة العمالية المنصوص عليها فى المادة (71) من هذا القانون أو أن يلجأ إليها فى موعد أقصاه خمسة وأربعين يوما من تاريخ انتهاء المدة المحددة للتسوية سواء كان قد تقدم للجنة بطلب التسوية أو لم يتقدم به وإلا سقط حقه فى عرض الأمر على المحكمة .,الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[71]
71,"المادة 71 من قانون العمل المصري: تشكل المحكمة العمالية من دائرة أو أكثر من دوائر المحكمة الابتدائية وتختص دون غيرها بالفصل فى كافة المنازعات العمالية الفردية المشار إليها فى المادة (70) من هذا القانون .
وتخطر المحكمة ممثلا عن المنظمة النقابية المعنية ، وممثلا عن منظمة أصحاب الأعمال لسماع رأيهما فى النزاع فى أول جلسة
، فإذا تخلف أى منهما عن الحضور استمرت المحكمة فى نظر الدعوى .
وعلى المحكمة العمالية أن تفصل – على وجه السرعة وبحكم واجب النفاذ ولو تم استئنافه – فى طلب صاحب العمل بفصل العامل خلال خمسة عشر يوما من تاريخ أول جلسة ، فإذا رفضت الطلب ، قضت باستمرار العامل فى عمله وبإلزام صاحب العمل بأن يؤدى إليه ما لم يصرف له من مستحقات .
فإذا لم يقم صاحب العمل بتنفيذ الحكم باستمرار العامل فى عمله أعتبر ذلك فصلا تعسفيا يستوجب التعويض طبقا لنص المادة
(122) من هذا القانون .
وتقضى المحكمة العمالية – بصفة مستعجلة – وبحكم واجب النفاذ بتعويض مؤقت للعامل يعادل أجره الشامل لمدة اثني عشر شهرا إذا جاوزت مدة عمله سنة كاملة ، فإن كانت أقل من ذلك كان التعويض المؤقت بقدر أجره الشامل عن مدة عمله إذا طلب منها ذلك . وعلى العامل إعلان صاحب العمل بطلباته النهائية خلال ثلاثين يوما من اليوم التالي لتاريخ صدور الحكم بالتعويض المؤقت إذا لم يكن قد سبق له إبداؤها .

وتقضى المحكمة العمالية للعامل بمبلغ التعويض النهائي وفى باقي طلباته بعد أن تخصم المبالغ التى يكون العامل قد استوفاها تنفيذا للحكم الصادر بالتعويض المؤقت .
فإذا كان طلب فصل العامل بسبب نشاطه النقابي قضت المحكمة العمالية باستمرار العامل فى عمله إذا طلب ذلك ما لم يثبت صاحب العمل أن طلب الفصل لم يكن بسبب هذا النشاط .
ويتبع فيما لم يرد بشأنه نص خاص فى هذا القانون أحكام قانوني المرافعات والإثبات فى المواد المدنية والتجارية .",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}","[70, 122]"
72,"المادة 72 من قانون العمل المصري: يتبع فى الطعن على أحكام المحاكم العمالية الأحكام الواردة فى قانون المرافعات المدنية والتجارية .
",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,{},[]
73,"المادة 73 من قانون العمل المصري: إذا تسبب العامل بخطئه وبمناسبة عمله فى فقد أو إتلاف مهمات أو آلات أو خامات أو منتجات يملكها صاحب العمل أو كانت فى عهدته التزم بأداء قيمة ما فقد أو أتلف.
ولصاحب العمل بعد إجراء التحقيق وإخطار العامل أن يبدأ باقتطاع المبلغ المذكور من أجره على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام فى الشهر الواحد.
ويجوز للعامل أن يتظلم من تقدير صاحب العمل أمام اللجنة المشار إليها فى المادة (71) من هذا القانون ووفقا للمدد والإجراءات الواردة بها.
فإذا لم يقض لصاحب العمل بالمبلغ الذى قدره للإتلاف أو قضى له بأقل منه وجب عليه رد ما اقتطع دون وجه حق خلال سبعة أيام من تاريخ صدور قرار اللجنة.
ولا يجوز لصاحب العمل أن يستوفى مستحقاته بطريق الاقتطاع وفقا لحكم هذه المادة إذا بلغ مجموعها أجر شهرين.",الكتاب الثاني: علاقات العمل الفردية,الباب الخامس: واجبات العمال ومساءلتهم,الفصل الثانى: التحقيق مع العمال ومساءلتهم,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[71]
